ID,Nombre común,Nombre científico,Tipo,Fecha de registro,Origen/Procedencia,Ubicación actual,Luz (condiciones),Riego,Temperatura ideal,Humedad recomendada,Sustrato usado,Última revisión,Estado actual,Observaciones,Historial,,,,,,,,,
P011,Kalanchoe tomentosa,Kalanchoe tomentosa,Suculenta,12/10/2025,Madagascar,Interior muy luminoso,Intensa o sol directo suave,Escaso, solo cuando el sustrato esté seco,18–28 °C,Baja,Arenoso con perlita,12/10/2025,Leve estrés hídrico, tallo alargado,Requiere más luz directa para compactarse. Evitar exceso de agua.,12/10/2025 — En recuperación.,,,,,,,
P012,Cinta,Chlorophytum comosum,Planta de interior colgante,12/10/2025,Sudáfrica,Interior muy luminoso o sombra parcial,Brillante indirecta,Moderado, dejar secar la capa superior,18–27 °C,Media,Universal aireado con buen drenaje,12/10/2025,Plántula joven, hojas sanas y erguidas,Enraíza fácilmente por esquejes. Evitar exceso de agua en invierno.,12/10/2025 — Registro inicial de plántula.,,,,,,,
P013,Monstera,Monstera deliciosa,Trepadora tropical,12/10/2025,Centroamérica,Interior muy luminoso sin sol directo,Alta indirecta,Moderado, mantener sustrato ligeramente húmedo,18–30 °C,Alta,Fibroso con perlita o corteza,12/10/2025,Hojas grandes con fenestraciones,Puede guiarse con tutor. Limpiar hojas con paño húmedo.,12/10/2025 — Registro inicial.,,,,,,,,
P014,Árbol de Jade,Crassula ovata,Suculenta,12/10/2025,Sudáfrica,Interior muy luminoso o exterior protegido,Intensa o sol directo suave,Escaso, dejar secar completamente,15–30 °C,Baja,Mineral con buen drenaje,12/10/2025,Hojas brillantes y carnosas,Evitar encharque. Puede florecer en invierno con buena luz.,12/10/2025 — Registro inicial.,,,,,,,,
P015,Composición Fittonia e Hypoestes,Fittonia albivenis + Hypoestes phyllostachya,Composición tropical de interior,12/10/2025,Sudamérica / Madagascar,Interior con luz filtrada,Media–alta, sin sol directo,Frecuente, mantener humedad constante,18–26 °C,Alta,Orgánico con turba y perlita,12/10/2025,Mezcla sana, colores vivos,Pulverizar con agua tibia. Evitar resecar el sustrato.,12/10/2025 — Registro inicial.,,,,,,
P016,Coleo,Coleus blumei,Planta ornamental de follaje,12/10/2025,Asia tropical,Interior luminoso o exterior protegido,Alta indirecta,Moderado-frecuente, no dejar secar del todo,18–28 °C,Media–alta,Rico en materia orgánica,12/10/2025,Follaje denso, crecimiento vigoroso,Pinzar puntas para mantener forma compacta.,12/10/2025 — Registro inicial.,,,,,,,
P017,Aloe (juvenil, identificación tentativa),Aloe sp.,Suculenta,12/10/2025,África (según especie),Interior muy luminoso,Intensa, sol suave de mañana si es posible,Muy escaso, solo cuando el sustrato esté completamente seco,18–28 °C (mín. 12 °C),Baja,Mineral (50–70 % arena/perlita/pómice),12/10/2025,Plántula sana, buen color verde claro,Evitar agua en la roseta. Reidentificar cuando emita hojas adultas.,12/10/2025 — Registro inicial.,,,,,
P018,Haworthia (grupo),Haworthiopsis cooperi (aprox.),Suculenta,12/10/2025,Sudáfrica,Interior con luz brillante indirecta,Intensa sin sol directo fuerte,Escaso, regar a fondo y dejar secar por completo,18–26 °C,Baja,Muy drenante (50 % mineral),12/10/2025,Roseta compacta, crecimiento activo,Evitar agua estancada en el plato. Posible división por hijuelos más adelante.,12/10/2025 — Registro inicial.,,,,,,,
P019,Kalanchoe (plántulas),Kalanchoe sp.,Suculentas juveniles,12/10/2025,Madagascar/África (según especie),Interior muy luminoso,Alta para evitar estiramiento,Moderado-escaso, dejar secar casi por completo,18–28 °C,Baja,Drenante con perlita/pómice,12/10/2025,Varias plántulas vigorosas,Trasplantar por separado cuando tengan 6–8 hojas verdaderas.,12/10/2025 — Siembra/propagación en marcha.,,,,,,,,
P020,Palmera areca,Dypsis lutescens,Palmera de interior (macolla),12/10/2025,Madagascar,Interior, junto a ventana luminosa sin sol directo,Alta, difusa,Moderado, mantener ligeramente húmedo, sin encharcar,18–26 °C,Media–alta, agradecerá pulverizaciones,Universal con buen drenaje,12/10/2025,Gran porte, puntas ligeramente secas en algunas frondas,Usar agua reposada/filtrada para reducir puntas marrones. Retirar frondas muy secas a ras.,12/10/2025 — Registro inicial.,,,
P021,Gynura (terciopelo morado),Gynura aurantiaca,Vivaz ornamental,12/10/2025,Asia tropical,Interior luminoso, lejos de sol directo fuerte,Brillante indirecta,Moderado, mantener ligeramente húmedo sin encharcar,18–26 °C,Media,Ligero con buen drenaje,12/10/2025,Tallos decaídos por posible falta de riego o frío,Recortar puntas para rebrote vigoroso. Mantener riegos regulares y temperatura estable.,12/10/2025 — Registro inicial. Recuperación en curso.,,,,,,,
P022,Campánula,Campanula portenschlagiana (aprox.),Vivaz/floración ornamental,12/10/2025,Europa,Interior muy luminoso o exterior en sombra brillante,Brillante, evita sol fuerte del mediodía,Regular, mantener sustrato ligeramente húmedo,12–24 °C,Media,Universal fértil con buen drenaje,12/10/2025,Floración abundante, algunas flores pasadas,Retira flores marchitas para alargar la floración. No dejar secar del todo.,12/10/2025 — Registro inicial en plena flor.,,,,,,
P023,Drácena variegada,Dracaena fragrans (cultivar),Arbusto de interior,12/10/2025,África tropical,Interior, junto a ventana con luz filtrada,Media–alta, sin sol directo fuerte,Moderado, dejar secar 2–3 cm superiores,18–28 °C,Media,Universal aireado (con perlita),12/10/2025,Hojas firmes, variegación marcada,Girar la maceta para crecimiento uniforme. Sensible al exceso de sales (usar agua reposada).,12/10/2025 — Registro inicial.,,,,,
P024,Sansevieria laurentii,Dracaena trifasciata ‘Laurentii’,Suculenta rizomatosa,12/10/2025,África occidental,Interior luminoso, tolera semisombra,Media–alta, evita sol muy fuerte en verano,Muy escaso, cada 2–4 semanas según estación,15–30 °C,Baja–media,Muy drenante (con arena/pómice),12/10/2025,Hojas firmes, bordes amarillos intactos,Evitar agua en el centro de las rosetas. Maceta pesada ayuda a la estabilidad.,12/10/2025 — Registro inicial.,,,,,
P025,Pachira,Pachira aquatica,Árbol de interior (troncos trenzados),12/10/2025,Centro y Sudamérica,Interior luminoso, sin corrientes frías,Media–alta,Moderado, dejar secar capa superior entre riegos,18–28 °C,Media–alta,Universal aireado con drenaje,12/10/2025,Hojas sanas, desarrollo homogéneo,Evitar encharcamientos para prevenir pudrición de tronco.,12/10/2025 — Registro inicial.,,,,,,
P026,Aloe vera,Aloe vera,Suculenta,12/10/2025,Prob. Arabia/África,Interior muy luminoso, sol suave,Alta, tolera sol directo gradual,Escaso, regar a fondo y dejar secar por completo,18–30 °C (mín. 10–12 °C),Baja,Mineral-drenante (50–70 % inertes),12/10/2025,Vigorosa, hojas firmes,Retirar agua del plato, sensible a pudrición.,12/10/2025 — Registro inicial.,,,,
P027,Drácena (multicaña),Dracaena fragrans,Arbusto de interior, porte alto,12/10/2025,África tropical,Interior, ventana luminosa sin sol directo,Media–alta,Moderado, evitar encharque,18–28 °C,Media,Universal aireado,12/10/2025,Frondas largas, buen porte,Limpiar polvo de hojas para mejorar fotosíntesis.,12/10/2025 — Registro inicial.,,,,,
P028,Aloe vera (2ª maceta),Aloe vera,Suculenta,12/10/2025,Prob. Arabia/África,Interior muy luminoso,Alta, adapta gradualmente al sol,Escaso, dejar secar completamente,18–30 °C,Baja,Mineral-drenante,12/10/2025,Hojas sanas, puntas algo secas en una hoja vieja,Evitar riegos nocturnos en clima frío.,12/10/2025 — Registro inicial.,,,,,,
